"RANGO_CLAVES","NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD"
"Resultado definitivo de la visita a la vivienda","R_DEF","Numérico",2,"01
"
"Hogar mudado","H_MUD","Numérico",1,"0
"
"Hogar mudado","H_MUD","Numérico",1,"1
"
"Hogar mudado","H_MUD","Numérico",1,"2
"
"Hogar mudado","H_MUD","Numérico",1,"3
"
"Seleccionado sustituido

","SEL_SUST","Alfanumérico",1,"A
"
"Seleccionado sustituido

","SEL_SUST","Alfanumérico",1,"B
"
"Seleccionado sustituido

","SEL_SUST","Alfanumérico",1,"C
"
"Seleccionado sustituido

","SEL_SUST","Alfanumérico",1,"D
"
"Tipo de cuestionario","TIPO_CUEST","Alfanumérico",1,"-
"
"Número de entrevista","N_ENT","Numérico",1,"1
"
"Número de entrevista","N_ENT","Numérico",1,"2
"
"Número de entrevista","N_ENT","Numérico",1,"3
"
"Número de entrevista","N_ENT","Numérico",1,"4
"
"Número de entrevista","N_ENT","Numérico",1,"5
"
"Número de renglón","N_REN","Numérico",2,"01…30
"
"Nombre de integrantes del hogar","NOM","Alfanumérico",250,"-
"
"Condición de residencia","C_RES","Numérico",1,"1
"
"Condición de residencia","C_RES","Numérico",1,"3
"
"Parentesco con el Jefe del Hogar","PAR","Numérico",1,"1
"
"Parentesco con el Jefe del Hogar","PAR","Numérico",1,"2
"
"Parentesco con el Jefe del Hogar","PAR","Numérico",1,"3
"
"Parentesco con el Jefe del Hogar","PAR","Numérico",1,"4
"
"Parentesco con el Jefe del Hogar","PAR","Numérico",1,"5
"
"Parentesco con el Jefe del Hogar","PAR","Numérico",1,"6
"
"Verificación de parentesco","AP3_4A","Numérico",1,"1
"
"Verificación de parentesco","AP3_4A","Numérico",1,"2
"
"Verificación de parentesco","AP3_4A","Numérico",1,"3
"
"Verificación de parentesco","AP3_4A","Numérico",1,"4
"
"Verificación de parentesco","AP3_4A","Numérico",1,"5
"
"Verificación de parentesco","AP3_4A","Numérico",1,"6
"
"Sexo","SEX","Numérico",1,"1
"
"Sexo","SEX","Numérico",1,"2
"
"Edad","EDAD","Numérico",2,"00
"
"Edad","EDAD","Numérico",2,"97
"
"Edad","EDAD","Numérico",2,"98
"
"Edad","EDAD","Numérico",2,"99
"
"Edad (Verificación)","AP3_6A","Numérico",2,"00
"
"Edad (Verificación)","AP3_6A","Numérico",2,"97
"
"Edad (Verificación)","AP3_6A","Numérico",2,"98
"
"Edad (Verificación)","AP3_6A","Numérico",2,"99
"
"Fecha de nacimiento día","NAC_D","Numérico",2,"99
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"01
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"02
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"03
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"04
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"05
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"06
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"07
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"08
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"09
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"10
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"11
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"12
"
"Fecha de nacimiento mes","NAC_M","Numérico",2,"99
"
"Código ","COD","Numérico",1,"1
"
"Código ","COD","Numérico",1,"2
"
"Código de seleccionado","COD_SEL","Alfanumérico",1,"A
"
"Código de seleccionado","COD_SEL","Alfanumérico",1,"B
"
"Código de seleccionado","COD_SEL","Alfanumérico",1,"C
"
"Código de seleccionado","COD_SEL","Alfanumérico",1,"D
"
"Código de verificación","VERIF_COD","Numérico",1,"1
"
"Código de verificación","VERIF_COD","Numérico",1,"2
"
"Nivel de instrucción","I_NIV","Numérico",2,"00
"
"Nivel de instrucción","I_NIV","Numérico",2,"01
"
"Nivel de instrucción","I_NIV","Numérico",2,"02
"
"Nivel de instrucción","I_NIV","Numérico",2,"03
"
"Nivel de instrucción","I_NIV","Numérico",2,"04
"
"Nivel de instrucción","I_NIV","Numérico",2,"05
"
"Nivel de instrucción","I_NIV","Numérico",2,"06
"
"Nivel de instrucción","I_NIV","Numérico",2,"07
"
"Nivel de instrucción","I_NIV","Numérico",2,"08
"
"Nivel de instrucción","I_NIV","Numérico",2,"09
"
"Nivel de instrucción","I_NIV","Numérico",2,"99
"
"Grados de estudio","I_ANIO","Numérico",1,"0
"
"Grados de estudio","I_ANIO","Numérico",1,"1
"
"Grados de estudio","I_ANIO","Numérico",1,"2
"
"Grados de estudio","I_ANIO","Numérico",1,"3
"
"Grados de estudio","I_ANIO","Numérico",1,"4
"
"Grados de estudio","I_ANIO","Numérico",1,"5
"
"Grados de estudio","I_ANIO","Numérico",1,"6
"
"Grados de estudio","I_ANIO","Numérico",1,"7
"
"Grados de estudio","I_ANIO","Numérico",1,"8
"
"Grados de estudio","I_ANIO","Numérico",1,"9
"
"Asistencia escolar","A_ESC","Numérico",1,"1
"
"Asistencia escolar","A_ESC","Numérico",1,"2
"
"Asistencia escolar","A_ESC","Numérico",1,"9
"
"Condición de actividad","C_ACT","Numérico",1,"1
"
"Condición de actividad","C_ACT","Numérico",1,"2
"
"Condición de actividad","C_ACT","Numérico",1,"3
"
"Condición de actividad","C_ACT","Numérico",1,"4
"
"Condición de actividad","C_ACT","Numérico",1,"5
"
"Condición de actividad","C_ACT","Numérico",1,"6
"
"Condición de actividad","C_ACT","Numérico",1,"7
"
"Condición de actividad","C_ACT","Numérico",1,"8
"
"Condición de actividad","C_ACT","Numérico",1,"9
"
"Verificación de actividad","V_ACT","Numérico",1,"1
"
"Verificación de actividad","V_ACT","Numérico",1,"2
"
"Verificación de actividad","V_ACT","Numérico",1,"3
"
"Verificación de actividad","V_ACT","Numérico",1,"4
"
"Posición en la ocupación","POS","Numérico",1,"1
"
"Posición en la ocupación","POS","Numérico",1,"2
"
"Posición en la ocupación","POS","Numérico",1,"3
"
"Posición en la ocupación","POS","Numérico",1,"4
"
"Posición en la ocupación","POS","Numérico",1,"5
"
"Posición en la ocupación","POS","Numérico",1,"9
"
"Factor de expansión de vivienda","FAC_VIV","Numérico",6,"000001 … 999999
"
"Factor de expansión del elegido","FAC_SEL","Numérico",6,"000001 … 999999
"
"Dominio","DOMINIO","Alfanumérico",1,"U
"
"Estrato sociodemográfico","EST","Numérico",1,"1
"
"Estrato sociodemográfico","EST","Numérico",1,"2
"
"Estrato sociodemográfico","EST","Numérico",1,"3
"
"Estrato sociodemográfico","EST","Numérico",1,"4
"
"Unidad Primaria de Muestreo","UPM_DIS","Numérico",4,"00001…99999
"
"Estrato de diseño ","EST_DIS","Numérico",5,"0001…9999
"
